product_name,product_price,rating,global_review,past_month_order
"hiccapop OmniBoost Travel Booster Seat with Tray for Baby, Dining Table, Camping, Beach, Grandma’s | Folding Portable Tip-Free Design Straps to Kitchen Chairs",11,4.4,8093,1000
"ONE PIX Backseat Car Organizer Mats Back Seat Organizers and Storage Bag with Touch Screen Tablet Holder for Kids Toddlers Car Seats, Travel Accessories, Road Trip Essentials Kids",85,4.8,9765,1000
"Fisher-Price Baby Portable Bassinet and Play Space On-the-Go Baby Dome with Developmental Toys and Canopy, Windmill",9,4.8,11124,3000
"8 Pack Large Burp Cloths for Baby - 20"" by 10"" Ultra Absorbent Burping Cloth, Washcloths, Newborn Towel - Milk Spit Up Rags Burp Clothes for Unisex, Boy, Girl (White)",12,4.8,23854,8000
Touched by Nature Unisex Baby Organic Cotton Socks,10,4.8,13823,1000
Hudson Baby Unisex Baby Plush Animal Face Bathrobe,23,4.8,28753,100
"iPlay, iLearn 10pcs Baby Rattles Toys Set, Infant Grab N Shake Rattle, Sensory Teether, Development Learning Music Toy, Newborn First Birthday Gifts for 0 1 2 3 4 5 6 7 8 9 10 12 Month Babies Boy Girl",16,4.6,7959,1000
"b&h Digital Baby Thermometer, The Infant Baby Bath Floating Toy Safety Temperature Water Thermometer (Classic Duck)",15,4.2,0,6000
Baby Spiral Hanging Stroller and Car Seat Toys for Babies 0-6 Months Newborn Plush Activity Toys for Bed Bassinet Crib Baby Carrier Gifts (Bee),22,4.5,20275,1000
"Rechargeable Baby Nail File, Fansidi Electric Baby Nail Trimmer for Newborn Infant or Toddler Toenail and Fingernail - Girls and Boys Accessory - Extra Replacement Pads Included (Pink)",12,4.4,6350,1000
"Burt's Bees Baby Baby Girls' Mittens, No-Scratch Mitts, 100% Organic Cotton, Set of 3",10,4.8,12250,3000
Hudson Baby Unisex Baby Cotton Terry Drooler Bibs With Fiber Filling,32,4.8,36864,700
Zaples Baby Non Slip Grip Ankle Socks with Non Skid Soles for Infants Toddlers Kids Boys Girls,15,4.6,1409,300
"Gaiatop Baby Stroller Fan, 4000mAh Oscillating Mini Portable Fan with Lights, 4 Speeds Battery Operated 360° Rotate Flexible Tripod Small Clip On Handheld Desk Fan for Car Seat Crib Travel Black",17,4.8,0,900
"Baby Hair Clips, 42PCS 2"" Fully Lined Hair Bows for Girls, Toddler Hair Accessories for Girls, Alligator Hair Clips for Girls Toddlers Baby Kids Teens (21 Colors in Pairs)",5,4.6,15006,3000
"Exquisite Buggy My Sweet Baby Disappearing Magic Bottles - Includes 1 Milk, 1 Juice Bottle with Pacifier for Baby Doll (Colorful)",7,4.6,0,300
"The Peanutshell 7 in 1 Baby Play Gym, Activity Center and Tummy Time Mat, Woodland Animals",49,4.5,0,50
2 Pack Ultra Warm Sherpa Plush Baby Sleeping Swaddle Wrap - Newborn Essentials Must Haves for 0-6 Months - Baby Shower Registry Search Gifts for Boys Girls - Baby Stuff Accessories (Grey and White),18,4.5,3038,50
Elesa Miracle 60pcs Baby Girl Mini Hair Claw Clips Flower Hair Bangs Pin Baby Girl Hair Accessories Clips,6,4.8,3679,1000
"HAILI XMGQ Baby Teething Toys, Silicone Baby Teether Freezer BPA Free, Soothe Babies Teething Relief Sore Gums, Banana Finger Toothbrush, Fruit Shape Giraffe Teether Set for Infant Boys and Girls",9,4.0,2088,800
Head Support for Stroller Car Seat - Head Band Strap Headrest for Sleeping Traveling for Toddler Kids Children Child Baby Infant,5,4.8,0,4000
"Tetthing Toys for Babies 0-6 Months - Baby Teething Toys - Never Drop Silicone Nipple Like Baby Teether & Infant Toys - Teethers for Babies 0-6 Months - Motor Skill, Gum & Teeth Development (Gray)",5,4.8,24237,3000
Gerber baby-girls 8-pack Short Sleeve Onesies Bodysuits,19,4.4,0,3000
"Glad For Kids Disposable Paper Bibs, 30 Ct - Disposable Bibs - Travel Bibs For Kids, Disposable Kids Bibs With Crumb Catcher",9,4.7,35380,3000
"Simple Joys by Carter's Unisex Babies' Muslin burp cloths, Pack of 7, Grey/White/Black, One Size",23,4.8,11472,2000
"Baby Hair Clips CELLOT 50PCS Baby Girls Fully Lined Baby Bows Hair Pins Tiny 2"" Hair Bows Alligator Clips for Baby Girls Infants Toddlers in Pairs",12,4.7,1381,1000
